Croatian,Russian,Phrase,ImageURL,Lesson
avion,самолёт,Letim avionom u Zagreb.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/avion.jpg,Lesson 1
prozor,окно,Otvorio sam prozor jer je vruće.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/prozor.jpg,Lesson 1
mobitel,мобильный телефон,Gdje je moj mobitel?,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/mobitel.jpg,Lesson 1
kuća,дом,Moja kuća je blizu parka.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/kuca.jpg,Lesson 1
knjiga,книга,Čitam zanimljivu knjigu.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/knjiga.jpg,Lesson 1
bilježnica,тетрадь,Upisao sam bilješke u bilježnicu.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/biljeznica.jpg,Lesson 1
olovka,карандаш,Trebam novu olovku za crtanje.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/olovka.jpg,Lesson 1
računalo,компьютер,Računalo danas radi vrlo brzo.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/racunalo.jpg,Lesson 1
poklon,подарок,Kupio sam poklon za tvoju sestru.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/poklon.jpg,Lesson 1
sunce,солнце,Danas jako sja sunce.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/sunce.jpg,Lesson 1
stablo,дерево,Ispod starog stabla je hlad.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/stablo.jpg,Lesson 1
sladoled,мороженое,Djeca vole jesti sladoled ljeti.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/sladoled.jpg,Lesson 1
kofer,чемодан,Spremam stvari u kofer.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/kofer.jpg,Lesson 1
torba,сумка,U torbi nosim laptop i knjige.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/torba.jpg,Lesson 1
autobus,автобус,Čekam autobus na stanici.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/autobus.jpg,Lesson 1
hotel,отель,Rezervirali smo hotel u centru.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/hotel.jpg,Lesson 1
jezero,озеро,Idemo plivati u jezeru.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/jezero.jpg,Lesson 1
papir,бумага,Treba mi bijeli papir za ispis.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/papir.jpg,Lesson 1
stolica,стул,Sjedim na stolici.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/stolica.jpg,Lesson 1
ploča,доска,Učitelj piše po ploči.,https://cdn.jsdelivr.net/gh/jusalex/crocards/images/1/ploca.jpg,Lesson 1
